Fecha,Santa Cruz,Oruro,Chuquisaca,Tarija
2020-07-13,21512,11079,3891,2508
2020-07-14,22017,11538,3891,2524
2020-07-15,22564,11833,3919,2665
2020-07-16,23617,11833,3919,2714
2020-07-17,24862,11833,3959,2771
2020-07-18,25357,12273,3959,3341
2020-07-19,25627,12471,3969,3714
2020-07-20,26182,12558,3969,4014
2020-07-21,26760,12657,3979,4080
2020-07-22,27146,12936,3979,4147
2020-07-23,27352,13291,3997,4192
2020-07-24,27542,13498,4000,4212
2020-07-25,27834,13498,4002,4235
2020-07-26,28068,13498,4004,4340
2020-07-27,28349,13498,4006,4481
2020-07-28,28780,13498,4006,4517
2020-07-29,29194,13720,4008,4583
2020-07-30,29634,14214,4008,4595
2020-07-31,29634,14214,4008,4670
2020-08-01,29963,14214,4008,4870
2020-08-02,30197,14214,4008,4895
2020-08-03,30431,14214,4008,5133
2020-08-04,30894,14214,4008,5143
2020-08-05,31216,14214,4008,5325
2020-08-06,31594,14214,4009,5346
2020-08-07,31823,14214,4011,5364
2020-08-08,32059,14214,4011,5400
2020-08-09,32192,14909,4011,5424
2020-08-10,32527,15376,4014,5442
2020-08-11,32734,15608,4014,5780
2020-08-12,32966,15753,4018,5788
2020-08-13,33151,15775,4018,5797
2020-08-14,33322,15799,4018,5912
2020-08-15,33436,15823,4019,5947
2020-08-16,33551,15818,4019,6049
2020-08-17,33646,15819,4019,6061
2020-08-18,33715,15852,4019,6106
2020-08-19,33800,15910,4019,6312
2020-08-20,33907,15950,4019,6358
2020-08-21,34051,16014,4019,6407
2020-08-22,34224,16037,4019,6534
2020-08-23,34306,16055,4019,6547
2020-08-24,34370,16163,4019,6594
2020-08-25,34649,16428,4019,6679
2020-08-26,34811,16428,4019,6688
2020-08-27,34947,16550,4019,6744
2020-08-28,35109,16676,4019,6793
2020-08-29,35199,16724,4019,6807
2020-08-30,35222,16904,4019,6872
2020-08-31,35371,17120,4019,6915
2020-09-01,35562,17211,4019,6944
2020-09-02,35716,17211,4019,
2020-09-03,35809,17303,4019,
2020-09-04,35931,17415,4019,
2020-09-05,36009,17619,4019,
2020-09-06,36036,17677,4019,
