,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02
131,,,,,,,,,,,,,,,,,,,,17.25,43.0,54.0,18.25,8.0,0.0,16.0,20.75,33.25,17.5,8.25,24.0,0.0,0.0,13.0,3.75,0.0,8.25,5.75,0.0,10.0,0.0,6.25,0.0,0.0,0.0,29.25,0.0,0.0,0.0,14.0,13.25,0.0,18.75,39.25,7.5,100.0,60.0,63.75,9.75,22.0,12.75,3.75,0.0,49.75,17.0,36.5,10.0,9.25,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,35.5,19.0,27.5,0.0,0.0,6.5,0.0,22.0,9.0,11.0,4.25,0.0,0.0,7.0,14.5,0.0,4.5,6.75,0.0,7.25,0.0,6.75,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,19.25,0.0,36.25,24.5,3.0,65.75,48.75,94.0,13.5,12.0,18.75,0.0,19.25,15.5,30.5,10.75,9.5,19.25,0.0,3.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,32.0,23.5,3.5,0.0,3.75,8.5,16.25,3.5,12.0,4.75,0.0,0.0,3.75,15.5,0.0,4.75,3.5,0.0,12.75,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.25,18.25,75.25,34.0,74.25,16.25,4.5,21.0,4.5,7.25,28.5,25.5,11.75,3.5,8.5,0.0,3.75,9.25,7.75,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,30.0,33.75,14.25,0.0,3.5,12.5,8.75,11.5,9.0,5.0,0.0,0.0,0.0,0.0,0.0,5.75,8.25,0.0,0.0,0.0,11.25,0.0,0.0,0.0,5.25,0.0,0.0,0.0,8.75,6.25,0.0,23.25,23.25,3.25,91.5,45.75,80.5,12.75,12.25,15.25,0.0,20.25,42.5,40.75,16.75,0.0,21.5,0.0,11.25,17.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,78.75,63.25,57.0,44.0,31.0,5.0,14.75,0.0,8.25,0.0,15.75,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,19.0,8.5,11.5,11.0,6.0,3.0,13.75,18.25,0.0,18.75,21.25,13.0,6.25,41.0,17.25,25.75,20.0,23.5,11.75,20.25,34.0,11.5,18.5,13.75,24.75,0.0,0.0,0.0,17.75,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,40.0,25.75,65.75,31.25,25.25,11.5,21.25,16.0,0.0,10.75,0.0,15.75,0.0,0.0,9.75,4.75,0.0,0.0,5.0,20.25,0.0,13.75,0.0,11.75,22.5,0.0,9.75,0.0,0.0,0.0,8.75,23.0,21.75,27.5,40.25,51.5,50.0,49.75,26.25,23.5,9.25,21.75,0.0,0.0,52.5,9.5,32.75,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,78.75,41.5,42.5,38.5,32.5,11.25,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.75,0.0,11.5,0.0,0.0,23.5,22.75,0.0,19.0,0.0,22.75,10.75,5.75,11.0,0.0,32.75,0.0,22.25,21.5,4.75,11.25,57.25,27.25,37.0,29.0,24.25,46.75,22.0,58.75,10.5,17.75,16.5,39.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,4.25,0.0,12.0,16.25,16.75,10.75,22.75,6.5,0.0,0.0,10.75,20.5,0.0,16.0,0.0,0.0,6.0,0.0,6.25,0.0,0.0,0.0,5.75,0.0,0.0,0.0,12.0,12.0,0.0,21.5,41.5,10.5,68.5,62.25,81.25,27.75,20.5,5.25,11.0,18.5,15.0,27.5,11.5,11.5,12.75,0.0,17.75,24.0,6.25,14.0,12.75,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,75.25,68.25,76.75,52.75,0.0,38.5,0.0,4.25,0.0,31.25,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.25,0.0,33.75,15.0,28.75,21.5,0.0,6.0,15.5,37.75,0.0,50.0,25.5,5.5,26.5,61.75,15.5,29.25,12.25,29.5,34.75,26.0,36.75,0.0,33.25,14.75,12.5,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,72.0,68.25,69.25,0.0,38.25,0.0,8.5,0.0,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,28.75,23.25,32.75,21.5,0.0,6.0,23.25,46.0,0.0,58.0,45.25,12.75,46.75,78.0,11.5,40.5,26.5,40.0,42.25,17.25,36.5,0.0,44.75,22.5,8.25,0.0,0.0,0.0,9.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,52.0,61.25,32.5,0.0,32.75,13.5,0.0,13.25,7.5,12.5,0.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,19.0,0.0,0.0,21.0,0.0,0.0,0.0,7.5,0.0,26.5,0.0,26.5,35.0,44.5,78.5,54.25,59.0,49.5,34.75,27.75,67.75,0.0,0.0,48.25,0.0,28.75,0.0,0.0,0.0,0.0,9.25,32.75,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,50.0,24.25,50.75,0.0,23.5,6.0,0.0,12.5,5.75,6.0,0.0,0.0,17.0,0.0,0.0,0.0,17.5,28.5,0.0,14.0,0.0,0.0,25.75,5.5,10.75,0.0,11.75,0.0,11.0,11.0,0.0,36.25,67.25,30.75,28.75,27.75,10.5,25.0,10.5,30.25,5.25,0.0,28.25,6.0,47.25,0.0,0.0,0.0,0.0,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15.5,23.5,18.5,6.25,9.25,9.75,0.0,0.0,13.75,19.25,0.0,11.0,3.25,0.0,18.25,0.0,9.25,0.0,0.0,0.0,15.0,0.0,0.0,0.0,8.75,12.75,0.0,22.75,36.5,30.5,90.5,31.5,74.5,8.5,11.75,10.75,3.25,6.5,18.75,14.25,17.5,17.25,21.0,0.0,10.0,26.5,12.25,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,42.25,67.0,28.0,16.75,31.75,0.0,0.0,0.0,4.25,0.0,6.5,0.0,10.0,0.0,3.75,0.0,0.0,12.0,19.5,0.0,14.75,4.25,19.5,10.0,10.25,14.25,14.5,10.75,0.0,20.0,18.5,13.25,23.25,45.25,41.75,17.25,20.0,29.0,17.25,10.75,26.5,9.75,4.0,18.0,30.25,0.0,0.0,0.0,7.0,0.0,0.0,7.25,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,25.25,69.25,25.75,23.0,23.25,0.0,6.5,0.0,10.25,0.0,6.5,0.0,16.0,0.0,3.75,0.0,0.0,8.0,10.75,0.0,17.25,10.75,21.75,10.0,10.25,16.25,10.25,10.75,0.0,18.0,14.5,15.0,23.25,45.25,35.75,30.75,23.75,29.0,13.5,24.25,39.5,15.75,6.0,20.0,28.0,0.0,0.0,0.0,7.0,0.0,0.0,7.25,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,21.5,5.5,9.5,11.0,0.0,11.0,6.25,7.75,8.25,0.0,4.5,5.75,0.0,5.75,0.0,12.25,7.5,4.75,7.0,0.0,0.0,20.5,6.0,5.75,0.0,0.0,12.25,7.25,9.25,18.75,46.75,70.5,71.0,42.0,18.75,27.75,17.75,7.25,23.75,27.0,6.0,27.5,10.25,33.5,0.0,6.25,11.5,0.0,7.0,22.5,23.75,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,64.75,55.25,12.75,34.25,0.0,6.25,0.0,0.0,0.0,20.25,0.0,4.25,0.0,10.0,0.0,0.0,24.75,23.75,0.0,32.0,0.0,8.75,12.25,6.25,6.5,9.75,55.0,0.0,34.5,14.0,13.5,19.0,39.5,32.0,44.25,29.75,46.0,21.0,19.0,34.75,18.0,18.0,22.25,18.75,0.0,0.0,0.0,7.0,0.0,0.0,7.25,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,61.25,13.0,0.0,28.75,16.5,0.0,14.5,11.0,6.25,0.0,0.0,5.25,10.75,0.0,0.0,26.5,13.5,0.0,6.5,0.0,16.25,5.75,0.0,4.0,0.0,11.0,0.0,4.0,14.0,19.75,41.0,56.25,49.25,16.25,47.75,46.75,20.0,29.25,41.0,10.75,0.0,45.25,4.0,39.5,0.0,0.0,0.0,0.0,0.0,18.75,25.75,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,10.5,0.0,4.0,0.0,11.0,0.0,0.0,13.5,8.5,0.0,5.25,3.5,0.0,4.75,0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,4.75,10.5,0.0,18.25,22.0,0.0,56.75,24.5,89.25,23.5,4.5,10.5,9.25,17.75,21.25,22.75,7.75,0.0,29.5,0.0,0.0,4.0,5.5,0.0,0.0,11.25,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,61.25,35.5,8.25,12.5,18.0,0.0,18.75,19.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,8.0,29.0,0.0,13.75,0.0,24.25,24.25,8.0,11.75,0.0,6.25,0.0,23.25,10.75,32.5,58.0,62.0,59.25,37.75,70.25,32.5,29.25,16.75,35.5,0.0,0.0,34.5,5.0,23.5,0.0,0.0,0.0,0.0,5.5,12.25,24.75,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,17.25,16.5,8.5,5.0,10.5,4.0,15.75,12.0,6.5,0.0,4.0,4.75,10.0,0.0,0.0,8.75,17.75,0.0,14.75,0.0,11.25,10.75,6.25,0.0,0.0,0.0,0.0,0.0,11.5,16.5,24.5,62.25,51.25,31.5,38.0,36.0,19.0,5.75,26.5,14.0,0.0,27.5,0.0,22.5,0.0,4.25,8.75,4.25,7.25,25.0,30.75,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,75.25,30.5,21.75,14.5,0.0,16.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,14.25,0.0,0.0,29.5,0.0,0.0,31.25,0.0,20.75,26.0,11.0,0.0,8.75,34.0,0.0,22.25,16.0,12.75,30.75,36.75,41.5,36.25,28.75,15.25,23.25,30.75,41.25,23.5,11.75,24.25,53.5,0.0,0.0,0.0,12.5,0.0,13.5,7.25,0.0,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.25,13.25,13.25,32.0,9.25,0.0,0.0,0.0,13.75,11.25,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,21.5,33.5,24.25,77.0,58.0,88.75,12.75,11.75,12.0,6.75,17.25,13.25,19.5,21.25,5.0,41.5,0.0,12.0,9.5,14.25,5.75,11.0,21.25,0.0,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,34.25,17.5,39.0,0.0,6.5,0.0,6.25,0.0,5.25,0.0,16.75,0.0,4.75,0.0,0.0,12.75,17.0,0.0,0.0,6.5,21.5,16.0,11.0,4.75,11.0,35.5,0.0,43.75,23.0,10.0,21.5,57.0,35.75,16.25,31.25,22.5,32.25,34.75,11.5,10.5,4.5,17.0,28.0,0.0,0.0,0.0,14.25,0.0,15.5,6.0,0.0,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,13.0,32.0,0.0,0.0,0.0,13.0,0.0,8.75,0.0,14.0,0.0,5.5,0.0,0.0,27.75,14.25,0.0,46.75,13.75,20.75,14.5,12.5,0.0,7.75,49.75,0.0,22.75,31.5,23.5,13.25,63.75,37.75,49.5,5.25,23.0,27.0,15.25,19.5,15.75,23.75,20.25,8.5,0.0,0.0,0.0,9.25,0.0,10.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,20.25,0.0,4.5,0.0,23.25,0.0,4.25,0.0,8.75,0.0,0.0,0.0,0.0,12.75,20.0,0.0,11.0,11.5,12.25,18.0,13.25,8.75,4.75,18.25,0.0,29.25,23.5,3.75,21.25,47.25,34.25,35.25,33.0,25.0,20.75,9.25,19.0,13.5,9.75,9.25,19.75,0.0,0.0,0.0,16.25,0.0,6.25,0.0,0.0,36.25,,,,,,,,,,,,,,,,,,,,
