,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
87,,,,,,,,,,,,,8.5,23.5,6.5,0.0,5.75,9.5,48.5,78.5,22.25,64.0,45.0,14.25,61.25,38.5,27.5,3.75,12.0,29.25,6.25,3.5,12.0,6.0,13.75,9.0,0.0,7.5,7.0,8.25,1.75,4.5,0.0,18.5,20.75,4.25,7.0,0.0,8.25,19.0,2.5,9.25,20.25,19.0,37.0,95.25,38.75,57.75,40.75,48.0,13.75,14.75,13.75,20.25,,
88,,,,,,,,,,,,,9.0,2.0,0.0,2.75,2.75,19.5,50.75,94.75,47.75,36.75,71.5,43.75,45.5,24.0,48.5,13.5,10.5,0.0,8.0,5.25,15.5,18.5,0.0,0.0,7.0,2.0,2.0,8.25,28.25,0.0,0.0,0.0,0.0,26.5,11.0,2.25,17.0,22.5,5.0,7.0,19.5,15.0,25.0,76.5,65.5,35.25,45.25,50.5,24.0,5.0,38.5,29.25,,
89,,,,,,,,,,,,,,13.75,4.25,0.0,0.0,15.0,47.75,72.5,44.0,50.0,63.25,12.0,70.0,35.0,29.0,0.0,22.25,21.25,4.75,4.5,12.0,16.5,22.5,15.75,2.25,13.0,1.75,7.5,0.0,4.75,0.0,17.0,19.0,7.75,17.25,0.0,15.75,22.75,2.5,10.25,25.75,23.75,29.75,92.5,39.5,58.75,31.25,55.0,13.5,12.5,15.5,12.75,,
90,,,,,,,,,,,,,,4.5,0.0,0.0,0.0,16.75,57.25,86.25,48.0,37.25,75.25,44.25,48.75,18.0,36.75,10.5,13.75,0.0,8.0,5.25,9.75,21.25,5.25,0.0,7.0,7.5,4.75,2.5,22.5,0.0,0.0,0.0,0.0,20.75,11.0,5.25,17.25,13.75,8.0,9.75,19.75,15.0,27.75,86.5,50.0,41.25,40.0,51.0,29.25,2.25,39.0,35.0,,
91,,,,,,,,,,,,,,10.5,0.0,3.25,6.0,36.0,50.0,86.75,85.0,53.0,61.25,66.5,36.0,27.0,40.0,9.75,26.25,0.0,27.25,10.0,13.5,39.0,2.75,0.0,14.0,6.25,8.5,8.25,19.75,0.0,7.25,0.0,3.5,32.75,15.5,9.25,21.5,19.5,9.75,2.5,28.0,18.5,21.5,81.5,87.75,28.25,40.25,62.0,22.0,5.75,21.0,37.0,,
92,,,,,,,,,,,,,,2.0,4.5,9.75,27.25,36.5,41.25,72.25,63.75,65.5,39.5,34.25,26.0,21.0,30.5,37.0,19.25,15.75,25.25,30.25,5.0,14.75,9.25,9.5,4.5,9.0,0.0,0.0,0.0,5.5,0.0,16.0,5.75,2.5,2.5,20.25,0.0,12.75,5.0,17.25,21.0,34.75,45.25,83.25,63.75,51.0,24.5,28.0,19.25,12.25,25.0,2.75,,
93,,,,,,,,,,,,,,14.25,0.0,3.25,7.5,21.75,48.25,83.25,63.25,35.25,58.25,51.25,30.75,29.5,30.0,12.0,19.0,0.0,23.25,4.5,17.25,22.0,6.0,0.0,5.5,5.75,7.0,13.75,20.5,7.0,5.25,0.0,6.25,48.0,6.5,4.25,11.0,12.5,14.5,11.25,24.5,20.25,23.5,59.5,100.0,28.0,27.25,47.75,12.75,2.25,20.5,27.5,17.5,
94,,,,,,,,,,,,,,4.5,7.5,4.0,16.0,22.25,48.25,48.5,38.75,56.5,35.0,43.0,44.5,23.75,34.0,25.75,7.5,7.75,15.5,33.5,12.25,6.75,2.5,2.0,0.0,4.5,4.0,9.25,0.0,2.5,0.0,12.5,15.0,3.0,4.5,11.0,2.75,14.5,7.75,15.0,18.5,38.25,51.5,67.75,95.75,63.25,32.75,37.75,16.5,12.5,25.75,0.0,17.75,
95,,,,,,,,,,,,,,,0.0,4.5,4.25,31.75,42.25,80.5,84.0,33.75,52.0,84.5,40.5,19.25,41.75,7.25,19.5,0.0,16.25,9.5,8.0,24.0,2.0,0.0,2.0,2.25,3.25,13.75,14.5,6.25,0.0,0.0,0.0,24.25,11.0,4.75,15.75,14.0,0.0,8.75,22.0,19.0,22.25,81.25,70.75,27.0,35.75,47.75,36.0,6.5,32.75,34.0,13.0,
96,,,,,,,,,,,,,,,11.25,0.0,1.75,6.5,46.0,76.5,29.5,59.5,32.0,14.5,47.75,47.0,10.5,4.5,18.0,28.5,2.5,6.5,4.5,11.25,20.75,15.5,2.25,8.5,0.0,7.0,5.0,4.5,0.0,23.25,12.25,0.0,15.25,0.0,11.75,13.75,5.25,4.5,17.0,18.0,29.0,91.75,37.25,38.5,19.25,50.75,23.5,13.25,9.5,11.25,26.75,
97,,,,,,,,,,,,,,,0.0,0.0,0.0,31.25,39.5,77.0,61.5,29.5,56.0,57.25,42.75,20.25,27.25,8.5,8.25,0.0,19.5,11.25,22.75,29.75,8.0,0.0,7.75,10.0,5.25,11.5,23.5,2.75,7.25,0.0,6.0,30.75,17.25,10.75,7.5,16.25,9.5,2.25,26.0,28.0,28.75,81.25,78.5,29.5,47.25,44.0,17.5,2.25,36.25,34.5,19.0,
98,,,,,,,,,,,,,,,0.0,3.75,3.75,23.25,43.5,85.25,38.5,33.0,60.5,74.0,39.25,23.0,31.0,9.5,14.75,0.0,11.25,13.75,4.5,20.0,6.25,0.0,2.5,9.75,2.25,11.0,25.5,2.5,3.0,0.0,0.0,21.25,4.75,6.75,11.0,21.25,6.25,11.0,17.0,18.25,24.75,53.0,86.25,22.5,30.25,32.0,20.75,8.25,29.75,23.0,18.75,37.5
99,,,,,,,,,,,,,,,11.25,12.75,24.0,25.25,42.75,54.5,50.0,52.0,36.25,56.0,26.75,19.5,30.5,24.25,10.0,10.5,9.75,29.0,11.5,13.5,4.25,1.75,0.0,10.75,2.25,2.25,0.0,2.5,0.0,9.75,8.25,0.0,5.0,12.5,4.5,9.25,15.25,11.0,17.25,56.5,45.75,71.0,90.75,55.0,25.25,32.0,21.0,12.25,29.5,2.25,12.0,21.0
100,,,,,,,,,,,,,,,5.25,0.0,7.25,16.75,43.25,89.25,28.0,58.25,53.5,10.25,67.75,24.5,13.25,2.5,23.5,40.75,8.25,7.75,6.5,2.25,7.25,16.25,0.0,10.75,4.25,2.25,4.75,3.5,0.0,14.0,16.25,2.25,18.0,0.0,21.5,16.0,0.0,7.5,21.5,16.75,39.25,81.25,45.5,57.25,30.0,58.0,14.25,7.5,15.0,18.25,24.25,22.25
