,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23
22,,7.75,60.5,37.0,60.25,0.0,9.0,17.75,33.5,34.75,11.75,0.0,12.25,0.0,47.75,12.25,21.25,20.0,21.75,12.5,34.25,49.75,50.0,34.0,34.25,13.25,56.5,34.0,27.0,24.25,12.5,21.75,0.0,0.0,21.75,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,37.25,0.0,31.75,0.0,0.0,0.0,19.0,,,,,,,,,,,,
23,,,77.75,0.0,10.5,0.0,11.25,48.0,24.5,0.0,0.0,20.75,0.0,0.0,0.0,34.75,22.25,0.0,0.0,45.0,35.0,22.75,11.5,10.5,0.0,0.0,0.0,37.75,25.75,37.5,24.75,61.75,0.0,0.0,0.0,0.0,0.0,9.25,0.0,12.5,0.0,36.0,39.75,0.0,0.0,0.0,0.0,12.0,24.5,0.0,0.0,21.0,20.25,,,,,,,,,,,,
24,,,36.75,0.0,11.5,0.0,0.0,65.5,29.5,0.0,0.0,21.25,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,52.25,7.75,20.0,46.25,24.25,0.0,0.0,30.0,24.5,0.0,12.5,61.75,0.0,0.0,0.0,0.0,0.0,10.75,27.25,18.25,0.0,0.0,70.0,0.0,0.0,0.0,0.0,22.75,22.5,0.0,0.0,9.25,31.5,,,,,,,,,,,,
25,,,19.0,54.75,36.75,0.0,12.0,65.25,11.75,38.5,19.25,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,27.5,19.25,29.75,45.25,43.25,22.25,32.75,11.5,9.75,19.25,0.0,0.0,0.0,8.5,19.25,9.75,0.0,0.0,17.5,9.5,0.0,0.0,0.0,59.25,0.0,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
26,,,36.0,42.75,12.5,0.0,13.0,23.75,9.75,0.0,43.75,0.0,0.0,35.5,23.75,12.0,36.5,11.25,0.0,23.5,34.5,25.0,32.0,22.25,9.75,10.0,37.75,10.25,13.5,28.25,50.25,38.5,0.0,0.0,0.0,0.0,0.0,10.25,8.25,0.0,0.0,0.0,11.25,0.0,23.0,0.0,23.5,0.0,0.0,0.0,0.0,10.5,22.5,,,,,,,,,,,,
27,,,42.0,0.0,22.0,0.0,11.75,16.25,46.25,0.0,0.0,32.25,0.0,31.25,38.75,11.25,19.25,0.0,0.0,45.0,42.0,11.0,0.0,69.75,0.0,0.0,0.0,72.25,25.0,33.5,30.5,49.0,0.0,0.0,0.0,0.0,0.0,46.0,10.25,10.5,0.0,11.0,52.25,0.0,0.0,0.0,0.0,28.75,29.0,0.0,0.0,19.75,11.5,,,,,,,,,,,,
28,,,42.75,0.0,22.5,0.0,12.0,88.0,8.0,0.0,0.0,39.5,0.0,18.25,11.25,11.5,0.0,0.0,0.0,45.5,31.75,11.25,12.0,34.25,31.5,0.0,0.0,48.5,54.75,21.5,31.75,33.75,0.0,0.0,0.0,0.0,0.0,10.0,0.0,28.75,0.0,52.25,9.25,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,21.5,,,,,,,,,,,,
29,,,,25.0,15.5,0.0,19.75,40.5,0.0,37.5,12.0,0.0,0.0,72.25,0.0,0.0,0.0,0.0,32.5,16.25,38.5,19.25,64.5,85.25,35.5,15.75,33.5,13.25,43.25,0.0,0.0,0.0,20.25,18.25,7.0,0.0,0.0,25.25,27.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,,,,,,,,,,,
30,,,,0.0,18.75,0.0,31.25,54.75,0.0,0.0,0.0,38.25,0.0,13.25,28.5,18.25,7.0,0.0,0.0,18.25,50.0,7.25,8.0,33.5,0.0,0.0,0.0,39.75,49.0,65.25,7.25,73.0,0.0,0.0,0.0,0.0,0.0,6.75,26.0,6.75,0.0,44.5,47.0,0.0,0.0,0.0,0.0,0.0,14.75,0.0,0.0,19.25,7.0,0.0,,,,,,,,,,,
31,,,,0.0,22.0,0.0,0.0,61.0,18.75,0.0,0.0,0.0,0.0,41.5,12.25,17.25,12.5,0.0,0.0,34.0,24.25,22.5,29.5,25.0,12.5,0.0,0.0,54.75,63.75,58.5,23.5,44.0,0.0,0.0,0.0,0.0,0.0,14.75,26.75,38.0,0.0,45.25,14.5,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,9.75,5.25,0.0,,,,,,,,,,,
