,,,2020-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00
,,,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,[sin dato],Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino
departamento,municipio,edad,,,,,,,,,,,,,,,,,,,,,,,
cochabamba,sacaba,>= 60,0,0,0,0,0,6,5,22,13,41,0,7,15,1,1,0,0,0,0,0,0,4,3
cochabamba,san benito,20-39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,san benito,50-59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,san benito,>= 60,0,0,0,0,1,0,0,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0
cochabamba,santivanes,40-49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,santivanes,>= 60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,shinaota,0-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,shinaota,40-49,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,shinaota,50-59,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
cochabamba,shinaota,>= 60,0,0,0,0,0,0,3,9,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
cochabamba,sipe sipe,50-59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
cochabamba,sipe sipe,>= 60,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tarata,20-39,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,tarata,40-49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tarata,>= 60,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tiquipaya,40-49,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tiquipaya,50-59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tiquipaya,>= 60,0,0,0,0,0,0,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tiraque (cbba),20-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cochabamba,tiraque (cbba),40-49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tiraque (cbba),50-59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tiraque (cbba),>= 60,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,toco,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,tolata,>= 60,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,totora(cbba),20-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
