,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17
182,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,7.0,0.0,33.75,23.25,27.0,50.0,34.25,0.0,13.75,26.5,5.75,22.25,0.0,0.0,17.25,0.0,41.75,0.0,15.75,18.5,0.0,0.0,12.75,0.0,0.0,13.0,8.25,0.0,0.0,0.0,6.25,0.0,10.75,10.25,0.0,33.5,68.5,6.5,0.0,0.0,48.25,41.25,18.0,0.0,0.0,0.0,42.5,9.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,17.75,10.75,45.0,0.0,30.0,22.5,0.0,11.75,10.25,0.0,0.0,16.0,0.0,0.0,0.0,0.0,14.5,0.0,34.5,16.0,0.0,0.0,0.0,4.25,0.0,0.0,4.25,0.0,0.0,0.0,10.0,7.0,40.25,9.0,0.0,0.0,0.0,16.25,31.25,15.0,44.25,17.0,24.5,8.75,51.5,70.75,18.75,0.0,0.0,30.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,7.5,0.0,25.5,0.0,30.5,59.25,26.5,0.0,0.0,28.0,15.75,5.5,0.0,0.0,6.75,0.0,62.25,0.0,9.5,27.0,0.0,0.0,18.75,0.0,0.0,20.25,23.25,0.0,0.0,0.0,16.75,13.0,4.75,23.0,6.0,4.5,61.5,4.75,0.0,0.0,30.5,53.5,24.75,0.0,0.0,12.75,6.75,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.75,0.0,32.5,42.5,20.0,39.0,12.25,0.0,8.5,15.25,20.25,14.0,0.0,0.0,17.0,0.0,52.5,0.0,0.0,10.0,0.0,0.0,6.5,0.0,0.0,13.75,35.25,0.0,0.0,0.0,23.5,9.5,12.0,11.25,10.5,9.75,59.75,11.25,0.0,0.0,39.0,25.25,40.5,0.0,0.0,8.5,29.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,0.0,47.0,56.25,17.75,36.75,10.5,0.0,0.0,27.25,23.25,30.0,0.0,0.0,16.25,0.0,65.5,0.0,0.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,13.75,17.5,13.5,21.0,0.0,16.25,61.5,34.0,0.0,0.0,43.75,30.75,52.5,0.0,0.0,12.75,22.75,5.25,0.0,0.0,39.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,33.25,9.0,37.25,52.75,0.0,14.25,9.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,32.75,0.0,47.0,19.0,6.75,0.0,0.0,19.25,0.0,0.0,7.75,0.0,0.0,0.0,19.0,0.0,6.0,5.0,0.0,7.0,0.0,15.0,66.5,0.0,68.5,22.5,64.75,6.25,77.25,40.0,25.25,0.0,0.0,14.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,14.75,9.0,37.25,73.5,0.0,15.5,0.0,0.0,0.0,34.25,0.0,0.0,0.0,0.0,14.0,11.25,27.75,0.0,26.0,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,15.25,5.25,14.25,23.75,0.0,13.5,0.0,0.0,32.0,7.5,53.75,58.25,23.0,31.0,52.25,61.25,33.75,0.0,0.0,40.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,14.75,9.0,37.75,75.0,0.0,15.5,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,14.0,11.25,28.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,15.25,5.5,14.25,24.0,0.0,13.5,0.0,0.0,32.25,7.5,53.75,58.5,23.5,31.25,52.25,61.75,34.25,0.0,0.0,40.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,0.0,33.0,5.75,21.5,32.25,46.75,0.0,0.0,28.75,29.75,18.5,0.0,0.0,0.0,0.0,63.75,0.0,18.0,31.0,0.0,0.0,10.5,0.0,0.0,7.75,10.25,0.0,0.0,0.0,0.0,0.0,2.5,7.25,14.0,20.0,55.0,10.0,0.0,0.0,13.5,37.5,18.25,0.0,0.0,5.75,13.5,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,0.0,51.5,10.0,23.5,44.0,15.25,0.0,0.0,32.0,23.75,8.75,0.0,0.0,0.0,0.0,85.0,0.0,0.0,9.75,0.0,0.0,13.5,0.0,0.0,16.0,16.0,0.0,0.0,0.0,12.25,0.0,0.0,9.75,3.5,15.0,42.0,23.75,0.0,0.0,57.25,51.75,47.25,0.0,0.0,11.25,25.75,10.75,0.0,0.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75,29.5,47.25,74.25,0.0,5.0,19.5,0.0,0.0,41.25,0.0,0.0,0.0,0.0,39.75,33.75,36.5,34.25,0.0,0.0,0.0,23.5,0.0,0.0,4.25,0.0,0.0,0.0,12.5,19.0,42.0,47.25,0.0,18.5,0.0,13.5,49.0,0.0,31.0,41.25,35.25,27.0,22.75,58.5,32.25,0.0,0.0,9.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.25,24.25,0.0,7.5,13.5,0.0,19.75,0.0,0.0,37.75,13.25,0.0,31.5,0.0,0.0,37.75,24.5,17.25,30.5,0.0,25.5,0.0,21.5,0.0,0.0,0.0,5.75,0.0,0.0,0.0,23.0,31.5,31.75,16.5,0.0,18.5,26.25,33.75,35.25,6.25,24.25,94.5,0.0,12.0,14.25,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75,9.0,7.5,23.0,83.25,12.5,37.75,16.5,0.0,7.5,12.25,0.0,9.5,0.0,0.0,0.0,15.0,14.75,21.25,0.0,27.75,0.0,14.75,0.0,0.0,9.75,0.0,0.0,0.0,0.0,28.75,23.5,27.25,6.0,0.0,26.75,23.75,13.0,21.75,0.0,18.0,71.75,0.0,25.5,7.5,10.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,16.5,33.25,61.25,0.0,10.5,17.0,0.0,0.0,40.25,0.0,0.0,0.0,0.0,10.5,21.5,30.25,20.25,30.5,0.0,0.0,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.25,41.5,20.0,0.0,13.5,0.0,8.25,82.75,14.5,36.75,63.5,40.5,23.0,31.5,40.75,23.25,0.0,0.0,31.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.25,33.25,17.0,58.0,37.25,0.0,23.75,31.25,27.0,11.25,0.0,0.0,20.25,0.0,62.5,0.0,9.25,34.0,0.0,0.0,7.25,0.0,0.0,6.75,29.25,0.0,0.0,0.0,19.5,15.75,0.0,42.0,19.0,23.0,45.5,0.0,0.0,0.0,22.5,30.75,53.75,0.0,0.0,18.25,19.75,0.0,0.0,0.0,14.25,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
