,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
37,,,,,,8.25,5.0,12.25,5.75,1.25,7.75,9.5,4.25,4.25,9.0,5.75,13.75,4.75,12.75,25.0,26.25,27.5,27.0,50.0,67.5,61.5,73.25,83.25,73.5,74.25,67.5,56.0,95.0,78.75,65.5,50.75,38.75,49.0,35.25,42.5,47.25,33.75,71.75,60.5,62.0,50.25,31.75,32.0,22.25,25.0,31.0,31.75,21.0,31.75,18.25,29.75,,,,,
38,,,,,,8.5,13.5,10.25,9.0,6.25,4.75,11.0,2.5,3.0,2.5,8.5,15.0,6.0,9.0,21.5,26.0,27.0,34.75,65.0,58.25,83.75,73.0,95.5,93.5,80.0,76.0,75.25,83.0,87.0,79.0,67.25,49.75,49.25,48.25,38.75,52.75,57.5,71.5,81.25,91.0,57.0,43.25,30.0,33.75,30.0,28.5,37.5,34.0,24.75,24.25,38.25,,,,,
39,,,,,,,11.25,14.75,7.5,3.75,4.75,6.0,5.0,2.0,2.75,8.25,9.5,5.75,6.5,16.0,22.0,23.75,31.75,39.0,47.75,67.75,90.75,85.0,67.75,79.0,76.25,71.75,89.25,61.0,57.0,57.25,52.0,49.0,39.5,46.25,44.25,56.25,55.5,76.25,67.0,43.75,35.75,27.5,29.5,18.5,24.25,23.75,30.5,12.75,21.25,24.75,39.0,,,,
40,,,,,,,12.75,13.0,6.5,5.25,5.0,3.5,2.25,4.75,3.75,7.0,11.0,10.0,7.75,14.75,25.75,23.75,30.75,44.25,49.25,60.75,91.5,89.25,77.5,78.25,81.0,78.25,95.0,72.25,57.5,54.0,58.75,55.0,46.0,46.75,48.75,56.5,57.75,71.75,74.25,53.5,47.75,31.25,32.75,21.75,19.25,27.25,37.0,17.75,21.75,28.5,40.25,,,,
41,,,,,,,4.0,13.25,8.5,2.5,8.0,6.0,3.75,6.75,7.5,6.75,11.25,8.5,12.25,16.0,22.75,24.75,27.75,55.5,57.5,58.75,86.75,100.0,82.5,69.25,76.0,59.5,83.25,72.0,65.25,51.75,50.0,53.0,37.0,57.0,49.0,39.25,66.5,56.25,74.25,59.0,39.75,35.5,21.25,24.25,28.0,33.25,20.0,34.5,21.75,43.25,43.25,,,,
42,,,,,,,12.5,9.75,6.75,6.0,5.25,7.25,3.0,3.0,3.25,6.5,13.25,5.5,8.5,15.5,20.75,24.75,37.0,52.5,55.5,72.5,76.0,97.5,76.75,81.75,76.75,72.25,97.0,87.25,77.75,61.5,35.75,47.25,38.25,36.75,46.75,68.25,67.75,79.25,79.75,53.25,52.75,33.75,32.0,21.25,23.5,29.5,30.25,27.5,28.75,39.25,48.0,,,,
43,,,,,,,10.0,12.0,5.0,3.75,5.5,5.0,3.0,4.5,2.5,7.25,9.5,5.75,7.5,19.25,21.25,22.0,33.25,41.75,47.75,59.75,98.75,83.0,64.0,75.5,77.0,78.25,89.0,70.5,57.75,54.25,46.0,54.75,45.5,45.75,32.0,52.0,64.5,62.75,79.25,54.5,43.25,27.0,33.0,22.25,26.0,24.25,34.25,17.75,23.0,23.5,38.5,49.75,,,
44,,,,,,,7.5,12.75,6.5,1.25,6.0,7.25,2.75,6.5,7.75,7.75,13.75,6.75,11.5,16.5,17.5,29.25,27.75,48.25,58.25,62.0,88.75,85.75,75.0,70.25,72.75,70.5,90.25,74.25,62.5,50.25,45.25,55.0,31.75,48.75,42.5,38.25,66.75,60.0,65.5,54.75,35.0,27.5,23.25,25.75,27.75,32.75,21.25,34.75,19.0,33.75,35.75,48.5,,,
45,,,,,,,,14.0,5.0,3.0,5.25,3.75,2.25,4.75,2.25,5.75,7.75,9.0,6.25,19.0,20.25,26.5,25.25,41.0,47.25,60.75,83.5,97.5,75.5,65.0,69.25,74.0,81.0,65.5,47.5,51.75,50.5,52.25,38.5,41.5,40.75,52.0,62.5,70.75,72.0,49.0,43.75,23.0,30.25,19.75,21.5,21.0,34.75,14.0,19.25,19.75,38.75,44.25,,,
46,,,,,,,,10.5,7.75,1.5,5.5,9.5,2.5,5.25,7.25,6.0,13.25,3.5,10.75,20.0,16.25,27.75,28.5,48.25,65.75,71.5,73.25,95.75,81.0,71.5,70.5,64.25,88.0,71.25,67.75,47.75,45.5,45.75,33.5,44.25,44.5,37.75,60.0,63.75,66.25,53.25,40.5,26.75,22.75,21.5,28.0,34.0,21.25,28.75,21.0,37.75,42.25,51.5,,,
