,,,2021-01-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00
,,,Femenino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino
departamento,municipio,edad,,,,,,,,,,,,,,,,,,,
potosi,tinguipaya,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
potosi,tomave,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
potosi,tupiza,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
potosi,tupiza,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
potosi,tupiza,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,1
potosi,uyuni,40-49,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
potosi,uyuni,50-59,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
potosi,uyuni,>= 60,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,3,0,0
potosi,villazon,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
potosi,villazon,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
potosi,villazon,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0
potosi,yocalla,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tarija,bermejo,0-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tarija,bermejo,20-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
