,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15
106,,,,,,,,,,,,,,,50.0,9.75,0.0,22.25,11.0,80.5,71.25,29.0,0.0,13.5,16.25,48.0,0.0,36.75,23.5,22.25,11.5,0.0,23.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,65.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,12.25,8.75,23.25,22.5,31.5,0.0,33.25,20.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,32.5,12.25,0.0,11.25,8.0,100.0,8.25,9.0,0.0,8.5,16.75,0.0,0.0,14.75,20.5,18.75,0.0,13.5,0.0,0.0,0.0,7.25,0.0,12.25,0.0,17.0,0.0,0.0,0.0,9.25,12.75,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,18.5,0.0,0.0,0.0,10.25,0.0,28.75,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,9.75,0.0,0.0,0.0,30.0,27.25,0.0,11.5,48.75,0.0,28.5,12.0,27.0,0.0,21.5,8.25,66.5,23.5,0.0,48.0,16.75,0.0,0.0,8.25,0.0,0.0,0.0,8.0,9.75,29.75,28.75,0.0,0.0,8.25,0.0,13.0,10.0,8.25,34.0,0.0,27.75,0.0,0.0,46.0,28.0,0.0,21.5,0.0,12.25,46.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,40.75,38.5,0.0,18.0,11.75,71.25,49.75,75.0,0.0,12.75,12.0,26.0,0.0,19.0,29.75,10.0,18.25,18.75,0.0,0.0,0.0,0.0,9.5,26.25,0.0,9.25,0.0,0.0,0.0,26.75,74.75,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,10.5,26.5,28.0,27.5,34.75,0.0,27.0,17.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,10.75,9.75,0.0,18.75,0.0,30.75,84.0,30.5,18.0,0.0,37.25,0.0,7.5,0.0,6.25,5.75,12.5,22.25,0.0,43.75,9.25,0.0,0.0,15.0,0.0,0.0,0.0,18.5,0.0,25.75,20.5,0.0,0.0,0.0,0.0,26.75,7.25,29.5,33.5,0.0,18.25,0.0,0.0,23.75,0.0,0.0,9.25,0.0,0.0,65.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,34.25,0.0,11.5,28.25,15.5,8.75,74.75,0.0,63.75,0.0,0.0,0.0,12.25,0.0,23.5,17.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.5,11.5,0.0,35.0,0.0,8.0,57.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,42.5,27.25,0.0,19.75,14.5,79.0,13.75,0.0,0.0,40.75,14.0,53.0,0.0,7.0,46.0,22.5,27.5,6.75,30.0,0.0,0.0,32.25,9.75,15.5,0.0,16.0,0.0,0.0,0.0,24.25,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,17.25,17.5,26.0,6.0,34.25,0.0,20.25,0.0,0.0,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,0.0,0.0,18.75,11.0,30.75,71.0,18.0,43.0,0.0,38.25,11.5,18.5,0.0,15.25,14.5,12.5,22.25,0.0,34.25,0.0,0.0,0.0,6.0,0.0,0.0,0.0,18.5,10.25,38.0,12.0,0.0,0.0,0.0,0.0,26.75,17.75,29.5,24.25,0.0,18.25,0.0,0.0,32.25,8.5,0.0,0.0,0.0,9.0,64.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,20.75,0.0,19.75,14.5,79.0,27.5,0.0,0.0,45.0,27.75,44.0,0.0,0.0,56.5,22.5,30.75,0.0,33.0,0.0,0.0,25.25,9.75,9.5,0.0,18.75,0.0,0.0,0.0,28.75,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,0.0,0.0,21.25,11.25,19.75,9.25,46.5,0.0,29.25,9.5,0.0,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,12.5,0.0,9.75,25.0,62.75,33.75,0.0,54.5,0.0,16.25,28.5,15.0,0.0,49.25,0.0,50.25,11.0,0.0,61.0,10.25,0.0,0.0,18.75,0.0,0.0,0.0,18.25,10.25,42.25,20.0,0.0,0.0,0.0,0.0,17.25,0.0,9.0,51.75,0.0,8.5,19.0,0.0,31.75,29.5,20.75,38.75,0.0,8.25,35.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
