name_0,name_1,name_2,name_3,population,gid_0,gid_1,gid_2,gid_3
Argentina,Córdoba,Presidente Roque Sáenz Peña,,39036,ARG,ARG.6_1,ARG.6.12_1,
Argentina,Córdoba,Punilla,,178829,ARG,ARG.6_1,ARG.6.13_1,
Argentina,Córdoba,Rió Cuarto,,265598,ARG,ARG.6_1,ARG.6.14_1,
Argentina,Córdoba,Rió Primero,,51312,ARG,ARG.6_1,ARG.6.15_1,
Argentina,Córdoba,Rió Seco,,11611,ARG,ARG.6_1,ARG.6.16_1,
Argentina,Córdoba,Rió Segundo,,112096,ARG,ARG.6_1,ARG.6.17_1,
Argentina,Córdoba,San Alberto,,43574,ARG,ARG.6_1,ARG.6.18_1,
Argentina,Córdoba,San Javier,,58710,ARG,ARG.6_1,ARG.6.19_1,
Argentina,Córdoba,San Justo,,222610,ARG,ARG.6_1,ARG.6.20_1,
Argentina,Córdoba,Santa María,,149751,ARG,ARG.6_1,ARG.6.21_1,
Argentina,Córdoba,Sobremonte,,4626,ARG,ARG.6_1,ARG.6.22_1,
Argentina,Córdoba,Tercero Arriba,,111498,ARG,ARG.6_1,ARG.6.23_1,
Argentina,Córdoba,Totoral,,26058,ARG,ARG.6_1,ARG.6.24_1,
Argentina,Córdoba,Tulumba,,15597,ARG,ARG.6_1,ARG.6.25_1,
Argentina,Córdoba,Unión,,109935,ARG,ARG.6_1,ARG.6.26_1,
Argentina,Entre Ríos,Colón,,87772,ARG,ARG.8_1,ARG.8.1_1,
Argentina,Entre Ríos,Concordia,,189326,ARG,ARG.8_1,ARG.8.2_1,
Argentina,Entre Ríos,Diamante,,48128,ARG,ARG.8_1,ARG.8.3_1,
Argentina,Entre Ríos,Federación,,81004,ARG,ARG.8_1,ARG.8.4_1,
Argentina,Entre Ríos,Federal,,26732,ARG,ARG.8_1,ARG.8.5_1,
Argentina,Entre Ríos,Feliciano,,15260,ARG,ARG.8_1,ARG.8.6_1,
Argentina,Entre Ríos,Gualeguay,,53880,ARG,ARG.8_1,ARG.8.7_1,
Argentina,Entre Ríos,Gualeguaychú,,118769,ARG,ARG.8_1,ARG.8.8_1,
Argentina,Entre Ríos,Isla,,92,ARG,ARG.8_1,ARG.8.9_1,
Argentina,Entre Ríos,Islas del Ibicuy,,16245,ARG,ARG.8_1,ARG.8.10_1,
Argentina,Entre Ríos,La Paz,,64244,ARG,ARG.8_1,ARG.8.11_1,
Argentina,Entre Ríos,Nogoyá,,36740,ARG,ARG.8_1,ARG.8.12_1,
Argentina,Entre Ríos,Paraná,,365783,ARG,ARG.8_1,ARG.8.13_1,
Argentina,Entre Ríos,Tala,,26089,ARG,ARG.8_1,ARG.8.14_1,
Argentina,Entre Ríos,Uruguay,,108975,ARG,ARG.8_1,ARG.8.15_1,
Argentina,Entre Ríos,Victoria,,40751,ARG,ARG.8_1,ARG.8.16_1,
Argentina,Entre Ríos,Villaguay,,51591,ARG,ARG.8_1,ARG.8.17_1,
Argentina,Formosa,Bermejo,,16439,ARG,ARG.9_1,ARG.9.1_1,
Argentina,Formosa,Formosa,,265806,ARG,ARG.9_1,ARG.9.2_1,
Argentina,Formosa,Laishi,,17674,ARG,ARG.9_1,ARG.9.3_1,
Argentina,Formosa,Matacos,,17269,ARG,ARG.9_1,ARG.9.4_1,
Argentina,Formosa,Patiño,,73487,ARG,ARG.9_1,ARG.9.5_1,
Argentina,Formosa,Pilagás,,19285,ARG,ARG.9_1,ARG.9.6_1,
Argentina,Formosa,Pilcomayo,,97040,ARG,ARG.9_1,ARG.9.7_1,
Argentina,Formosa,Pirané,,63199,ARG,ARG.9_1,ARG.9.8_1,
Argentina,Formosa,Ramón Lista,,17643,ARG,ARG.9_1,ARG.9.9_1,
Argentina,Jujuy,Capital,,302172,ARG,ARG.10_1,ARG.10.1_1,
Argentina,Jujuy,Cochinoca,,12719,ARG,ARG.10_1,ARG.10.2_1,
Argentina,Jujuy,El Carmen,,110730,ARG,ARG.10_1,ARG.10.3_1,
Argentina,Jujuy,Humahuaca,,17733,ARG,ARG.10_1,ARG.10.4_1,
Argentina,Jujuy,Ledesma,,88558,ARG,ARG.10_1,ARG.10.5_1,
Argentina,Jujuy,Palpalá,,52626,ARG,ARG.10_1,ARG.10.6_1,
Argentina,Jujuy,Rinconada,,3025,ARG,ARG.10_1,ARG.10.7_1,
Argentina,Jujuy,San Antonio,,10369,ARG,ARG.10_1,ARG.10.8_1,
Argentina,Jujuy,San Pedro,,78898,ARG,ARG.10_1,ARG.10.9_1,
Argentina,Jujuy,Santa Bárbara,,20861,ARG,ARG.10_1,ARG.10.10_1,
Argentina,Jujuy,Santa Catalina,,2962,ARG,ARG.10_1,ARG.10.11_1,
Argentina,Jujuy,Susques,,3955,ARG,ARG.10_1,ARG.10.12_1,
Argentina,Jujuy,Tilcara,,14842,ARG,ARG.10_1,ARG.10.13_1,
Argentina,Jujuy,Tumbaya,,4958,ARG,ARG.10_1,ARG.10.14_1,
Argentina,Jujuy,Valle Grande,,2619,ARG,ARG.10_1,ARG.10.15_1,
Argentina,Jujuy,Yavi,,25529,ARG,ARG.10_1,ARG.10.16_1,
Argentina,La Pampa,Atreucó,,10115,ARG,ARG.11_1,ARG.11.1_1,
Argentina,La Pampa,Caleu Caleu,,2655,ARG,ARG.11_1,ARG.11.2_1,
Argentina,La Pampa,Capital,,115158,ARG,ARG.11_1,ARG.11.3_1,
Argentina,La Pampa,Catriló,,7819,ARG,ARG.11_1,ARG.11.4_1,
Argentina,La Pampa,Chalileo,,3524,ARG,ARG.11_1,ARG.11.5_1,
Argentina,La Pampa,Chapaleufú,,12602,ARG,ARG.11_1,ARG.11.6_1,
Argentina,La Pampa,Chical Có,,1508,ARG,ARG.11_1,ARG.11.7_1,
Argentina,La Pampa,Conhelo,,13548,ARG,ARG.11_1,ARG.11.8_1,
Argentina,La Pampa,Curacó,,1192,ARG,ARG.11_1,ARG.11.9_1,
Argentina,La Pampa,Guatraché,,8283,ARG,ARG.11_1,ARG.11.10_1,
Argentina,La Pampa,Hucal,,7141,ARG,ARG.11_1,ARG.11.11_1,
Argentina,La Pampa,Lihuel Calel,,354,ARG,ARG.11_1,ARG.11.12_1,
Argentina,La Pampa,Limay Mahuida,,555,ARG,ARG.11_1,ARG.11.13_1,
Argentina,La Pampa,Loventué,,8692,ARG,ARG.11_1,ARG.11.14_1,
Argentina,La Pampa,Maracó,,63747,ARG,ARG.11_1,ARG.11.15_1,
