,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,22.0,8.5,26.25,40.5,0.0,8.0,15.75,24.25,22.25,0.0,0.0,24.25,32.25,31.25,24.0,43.0,13.5,52.5,50.5,63.25,27.0,0.0,8.75,51.5,24.75,36.0,12.0,21.0,47.0,0.0,0.0,0.0,0.0,21.25,0.0,7.0,0.0,38.25,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,52.25,0.0,0.0,0.0,9.25,9.25,23.25,0.0,0.0,0.0,14.0,13.25,27.75,0.0,0.0,13.5,64.75,23.0,0.0,44.25,7.0,29.5,44.5,30.25,20.5,12.0,23.25,54.75,45.75,67.75,0.0,0.0,8.5,0.0,7.5,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,35.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,14.0,0.0,7.0,32.5,18.75,28.0,68.5,7.5,35.5,0.0,34.5,23.0,0.0,8.0,26.75,23.0,62.25,30.75,40.5,31.75,61.0,27.0,28.0,0.0,0.0,7.0,24.0,8.0,18.75,36.75,22.75,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,0.0,32.25,29.75,18.5,0.0,0.0,26.75,9.25,0.0,0.0,0.0,0.0,22.0,45.5,34.0,0.0,12.75,31.0,9.0,81.0,16.5,60.75,0.0,10.25,21.0,0.0,19.75,9.0,11.25,41.5,0.0,21.75,8.75,0.0,0.0,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,32.0,21.25,24.5,75.75,11.25,22.5,21.25,29.0,15.25,0.0,0.0,42.0,34.0,28.75,29.0,26.25,0.0,0.0,54.25,73.5,9.5,0.0,21.0,46.25,18.0,18.25,12.25,8.5,22.75,0.0,0.0,0.0,0.0,12.0,0.0,9.75,0.0,25.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,16.0,22.0,10.75,93.25,17.5,47.5,0.0,17.5,24.25,0.0,0.0,10.5,40.5,30.0,49.5,27.0,9.75,29.0,35.5,31.5,14.75,0.0,24.75,15.0,15.0,29.5,8.5,37.75,22.75,0.0,0.0,0.0,0.0,6.25,0.0,9.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.0,28.5,40.25,19.0,0.0,34.5,21.0,25.0,0.0,11.5,11.5,0.0,10.0,12.0,31.0,40.25,33.5,51.25,34.5,36.0,27.25,42.5,9.75,0.0,47.75,8.0,19.5,16.5,29.5,62.5,10.75,9.25,18.25,0.0,8.25,10.25,9.25,10.0,30.25,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.5,37.5,6.75,25.25,65.75,8.0,22.75,28.25,10.5,43.25,0.0,0.0,42.5,25.0,34.75,11.75,33.75,22.75,40.75,38.0,80.75,21.75,6.25,22.25,34.25,44.75,37.0,23.0,38.5,12.75,7.5,0.0,0.0,0.0,10.0,6.75,19.75,6.75,8.25,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,60.75,17.75,30.5,55.25,13.75,35.0,23.0,47.25,32.5,0.0,0.0,34.5,50.75,24.25,20.5,28.25,13.5,25.25,47.5,45.25,23.0,0.0,23.75,16.5,46.75,24.0,12.75,30.25,17.75,0.0,0.0,0.0,0.0,17.5,0.0,30.0,0.0,20.25,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,0.0,16.0,0.0,21.0,6.5,24.75,0.0,0.0,0.0,0.0,7.0,19.25,13.75,20.25,16.0,13.5,21.5,100.0,25.0,47.75,0.0,12.0,4.75,0.0,32.0,4.75,7.25,27.5,0.0,16.0,13.5,0.0,0.0,7.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
