,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,0.0,16.0,40.0,32.75,15.0,73.0,9.75,40.75,0.0,21.0,14.75,0.0,0.0,9.25,5.0,17.75,4.5,0.0,8.5,0.0,11.25,8.5,0.0,0.0,9.0,10.0,0.0,18.75,12.75,0.0,0.0,4.0,11.5,0.0,16.75,10.0,0.0,18.25,7.75,5.5,0.0,5.25,0.0,7.75,0.0,0.0,0.0,0.0,2.75,0.0,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,39.25,31.0,28.5,51.25,7.5,62.0,8.5,0.0,0.0,0.0,7.5,0.0,0.0,6.25,5.75,16.25,17.25,0.0,8.5,8.0,7.75,25.0,0.0,0.0,25.0,4.75,0.0,29.75,34.5,0.0,0.0,20.5,8.0,7.5,30.0,9.75,0.0,26.0,16.5,25.75,0.0,0.0,0.0,9.25,0.0,0.0,0.0,0.0,4.25,0.0,4.25,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,9.0,82.25,33.5,33.75,68.0,9.75,13.0,0.0,43.5,21.0,0.0,0.0,16.25,0.0,39.0,0.0,0.0,0.0,24.5,23.75,16.25,0.0,0.0,14.5,14.5,0.0,16.25,31.5,0.0,0.0,8.0,22.75,0.0,26.25,8.25,0.0,18.5,8.5,0.0,8.0,9.25,0.0,26.0,0.0,0.0,0.0,0.0,4.75,0.0,12.0,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,0.0,14.75,46.0,8.5,61.0,13.0,33.75,0.0,22.5,11.75,0.0,0.0,18.25,9.5,11.0,17.5,0.0,9.25,26.25,32.75,5.75,0.0,0.0,14.25,13.25,0.0,28.5,49.25,0.0,0.0,0.0,20.75,33.0,45.25,6.5,0.0,0.0,0.0,10.0,10.0,8.75,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,6.75,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.25,46.25,32.5,17.0,29.75,59.0,12.5,54.25,0.0,0.0,0.0,7.5,22.25,0.0,19.0,18.5,22.75,42.0,9.5,0.0,0.0,36.25,0.0,0.0,0.0,18.25,18.25,22.5,35.75,0.0,0.0,8.0,0.0,10.25,16.5,0.0,10.5,0.0,17.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,0.0,31.5,35.0,35.75,56.5,19.5,6.75,0.0,28.75,0.0,0.0,0.0,10.75,13.25,27.5,0.0,0.0,6.5,15.5,15.0,9.75,0.0,0.0,5.5,9.5,0.0,22.25,31.25,0.0,0.0,20.0,16.75,24.0,20.25,6.75,0.0,6.5,11.25,17.0,10.5,18.5,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,52.0,6.5,33.75,56.25,9.5,27.0,0.0,50.0,9.25,0.0,0.0,0.0,7.0,12.75,6.25,0.0,6.25,13.5,16.75,11.5,0.0,0.0,21.75,0.0,0.0,11.5,19.0,0.0,0.0,11.5,18.25,5.75,12.75,11.75,0.0,7.75,7.5,5.25,20.75,7.0,0.0,5.5,0.0,0.0,0.0,0.0,4.75,0.0,4.5,0.0,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,53.75,17.25,35.75,58.0,9.5,38.0,0.0,32.75,9.25,0.0,0.0,8.25,0.0,31.75,6.25,0.0,7.5,7.0,18.0,19.25,0.0,0.0,29.25,7.25,0.0,4.75,13.75,0.0,0.0,19.75,9.5,5.75,21.25,4.75,0.0,7.75,7.5,14.25,20.75,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,4.5,0.0,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,42.5,32.0,0.0,47.75,8.75,25.5,0.0,31.5,25.5,0.0,0.0,20.25,0.0,19.25,4.0,0.0,8.5,4.75,25.0,0.0,0.0,0.0,22.0,5.75,0.0,4.75,22.0,0.0,0.0,13.75,0.0,4.75,24.25,11.75,0.0,15.25,14.5,4.5,17.25,4.25,0.0,4.25,0.0,0.0,0.0,0.0,13.25,0.0,6.25,0.0,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25,45.0,6.5,23.5,0.0,41.25,0.0,14.5,18.25,0.0,0.0,7.0,6.0,29.5,0.0,0.0,18.0,0.0,14.25,20.75,0.0,0.0,13.0,6.5,0.0,22.25,39.0,0.0,0.0,5.0,19.5,5.5,16.0,15.0,0.0,0.0,17.0,5.5,9.75,9.75,0.0,13.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,16.5,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75,60.75,0.0,77.0,19.5,29.75,0.0,18.75,16.25,0.0,0.0,0.0,6.75,43.0,7.0,0.0,6.0,7.0,14.75,14.0,0.0,0.0,8.75,0.0,0.0,23.25,50.25,0.0,0.0,0.0,6.25,19.25,7.0,5.25,0.0,0.0,10.0,18.75,5.25,7.75,0.0,11.5,0.0,0.0,0.0,0.0,9.25,0.0,10.0,0.0,13.75,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75,32.25,16.25,17.75,26.0,11.75,56.0,0.0,0.0,0.0,10.75,16.75,15.75,19.0,17.5,13.25,31.75,0.0,0.0,0.0,45.0,0.0,0.0,0.0,7.5,12.5,4.0,12.0,4.0,0.0,4.75,31.75,16.25,0.0,0.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,33.0,9.5,64.25,7.5,15.25,0.0,6.25,0.0,0.0,0.0,17.25,5.0,15.0,10.25,0.0,5.25,10.25,15.25,23.75,0.0,0.0,0.0,10.0,0.0,17.5,10.75,0.0,0.0,0.0,22.0,0.0,5.25,11.5,0.0,18.5,13.25,0.0,7.25,0.0,0.0,15.25,0.0,0.0,0.0,0.0,8.0,0.0,8.75,0.0,10.0,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.75,26.0,15.0,17.25,8.75,29.0,0.0,16.5,0.0,0.0,0.0,10.5,4.5,29.75,4.0,0.0,10.0,10.0,10.0,16.0,0.0,0.0,19.5,11.75,0.0,15.0,35.0,0.0,0.0,11.0,5.0,12.75,0.0,0.0,0.0,7.5,11.25,0.0,11.75,4.5,0.0,14.25,0.0,0.0,0.0,0.0,7.25,0.0,2.75,0.0,23.5,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.75,24.75,9.0,65.75,0.0,35.75,0.0,23.5,15.75,0.0,0.0,13.25,7.0,30.0,13.25,0.0,6.25,0.0,23.5,25.25,0.0,0.0,24.75,10.5,0.0,20.25,18.25,0.0,0.0,0.0,9.0,8.25,19.0,12.75,0.0,0.0,20.25,20.75,15.25,6.25,0.0,16.75,0.0,0.0,0.0,0.0,4.75,0.0,14.25,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,0.0,74.5,0.0,12.0,0.0,31.5,8.75,0.0,0.0,5.0,6.25,19.5,0.0,0.0,4.5,0.0,8.5,15.5,0.0,0.0,8.5,4.25,0.0,12.5,28.5,0.0,0.0,2.75,9.75,7.0,3.0,6.25,0.0,11.75,13.25,0.0,5.0,3.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,13.5,0.0,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,6.0,88.5,6.25,42.25,0.0,20.25,12.5,0.0,0.0,12.25,12.25,23.25,11.0,0.0,0.0,17.0,26.75,21.5,0.0,0.0,23.75,17.5,0.0,36.25,30.75,0.0,0.0,7.0,0.0,16.5,15.5,4.75,0.0,8.5,4.75,13.0,8.5,10.0,0.0,14.0,0.0,0.0,0.0,0.0,4.75,0.0,5.0,0.0,18.5,0.0,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,6.0,88.25,6.25,42.25,0.0,20.25,12.25,0.0,0.0,12.25,12.25,23.25,11.0,0.0,0.0,16.75,26.25,20.75,0.0,0.0,23.25,17.5,0.0,36.0,30.75,0.0,0.0,7.0,0.0,16.0,15.5,4.75,0.0,8.5,4.75,13.0,8.5,9.25,0.0,13.5,0.0,0.0,0.0,0.0,4.75,0.0,5.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,9.5,58.0,16.75,46.25,0.0,36.75,0.0,0.0,0.0,5.25,0.0,23.5,14.25,0.0,0.0,13.75,12.0,32.5,0.0,0.0,32.0,7.0,0.0,0.0,23.75,0.0,0.0,21.5,6.5,30.75,22.75,26.5,0.0,5.75,27.5,23.0,0.0,5.75,0.0,25.75,0.0,0.0,0.0,0.0,14.0,0.0,3.5,0.0,22.5,0.0,14.75,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,65.25,29.75,27.5,0.0,31.5,0.0,0.0,0.0,15.0,0.0,23.5,23.5,0.0,0.0,22.5,12.0,28.0,0.0,0.0,7.0,15.5,0.0,0.0,33.0,0.0,0.0,7.5,6.5,26.25,8.0,12.75,0.0,5.75,13.0,8.0,0.0,15.75,0.0,33.25,0.0,0.0,0.0,0.0,5.0,0.0,3.5,0.0,20.0,0.0,14.75,,,,,,,,,,,,,,,,,
