,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11
42,,,,,,,28.0,26.75,43.25,4.75,2.0,11.25,4.5,13.0,11.75,13.75,16.5,26.5,24.25,29.25,56.75,42.75,58.5,78.0,59.25,76.5,69.0,67.25,37.5,47.0,42.5,33.5,31.0,43.75,61.5,23.5,42.0,26.5,52.75,72.0,28.0,61.0,36.0,39.0,40.5,76.5,44.0,22.5,42.0,47.25,40.75,76.25,49.25,81.25,64.5,79.25,62.75,,
43,,,,,,,37.25,24.5,20.25,18.5,11.0,0.0,1.75,19.5,17.25,13.25,11.75,33.0,20.5,49.75,49.0,47.0,55.25,55.75,77.5,75.5,42.0,58.75,68.75,39.5,57.5,38.75,36.5,46.0,40.5,37.25,43.5,38.25,45.75,58.75,60.5,43.0,68.25,52.5,42.5,44.5,47.5,43.0,42.25,20.75,76.5,42.25,55.25,65.0,100.0,58.0,61.0,60.75,
44,,,,,,,30.25,22.75,15.0,7.5,4.75,4.25,14.0,10.0,7.0,11.75,14.5,22.5,29.25,35.75,64.25,42.5,59.25,50.75,65.5,76.75,65.0,74.25,81.75,34.0,35.5,25.75,56.25,36.0,51.5,26.25,16.25,25.75,79.75,34.75,55.0,57.0,74.0,36.0,54.75,46.25,51.0,35.75,14.0,36.25,58.25,73.25,71.0,63.25,58.25,75.25,44.75,76.25,
45,,,,,,,,33.0,21.5,17.5,15.5,1.75,3.0,10.25,15.25,6.0,13.5,23.5,18.0,48.25,52.75,50.5,55.5,52.25,88.75,87.75,51.75,55.5,67.0,50.0,59.5,32.25,46.5,50.0,32.5,41.0,41.75,53.75,50.5,57.25,41.75,55.25,72.0,47.75,39.5,43.0,45.75,45.5,52.0,35.0,75.75,39.0,64.75,74.0,76.0,67.0,59.5,48.75,
46,,,,,,,,20.0,16.75,9.75,4.75,4.25,11.5,5.5,9.25,11.5,16.5,23.25,27.75,27.75,52.5,38.75,50.75,43.75,67.5,87.0,71.25,55.0,70.0,34.25,37.25,23.25,58.5,33.5,49.75,32.0,15.5,25.25,66.75,37.25,38.25,49.0,65.25,53.0,62.25,46.0,42.25,36.75,13.5,28.25,59.5,60.5,74.25,66.5,68.75,68.5,33.5,85.25,
47,,,,,,,,21.25,18.25,11.25,4.75,5.75,9.75,6.75,7.75,14.5,16.5,18.5,23.0,29.25,54.0,35.25,44.25,43.25,62.5,88.0,78.5,59.25,68.25,40.25,37.0,21.25,56.5,36.25,47.75,31.5,17.0,20.0,73.0,35.25,43.5,45.0,68.5,66.5,67.25,51.0,51.0,35.0,14.75,24.5,55.5,58.75,72.5,75.25,67.0,70.75,41.0,89.25,
48,,,,,,,,13.75,37.75,1.25,5.5,16.0,2.75,11.5,9.75,15.0,13.75,30.0,24.0,22.5,54.25,34.25,60.5,65.0,46.25,92.5,61.25,57.75,46.5,52.0,36.75,25.0,40.25,48.5,54.75,23.75,46.75,32.0,50.5,61.5,41.0,53.25,51.0,49.0,35.75,47.0,44.25,18.25,22.75,33.5,36.0,66.5,56.0,80.75,68.75,70.0,72.75,46.25,
49,,,,,,,,,19.0,8.25,4.75,5.75,1.75,8.75,9.5,16.25,21.0,27.25,19.0,29.75,77.75,40.25,53.75,55.25,55.25,76.25,72.5,78.75,70.75,48.25,28.75,40.75,36.25,26.5,44.0,21.75,20.5,26.75,73.0,41.5,63.25,61.75,83.5,50.25,62.25,49.5,41.75,46.75,13.5,31.0,60.75,50.5,77.75,61.0,57.25,79.5,57.0,93.75,65.25
50,,,,,,,,,24.5,29.75,11.75,1.5,7.5,18.25,12.5,14.5,11.5,26.25,17.75,32.5,41.5,54.5,44.5,44.75,82.25,69.0,49.0,54.25,60.0,54.0,46.75,40.75,47.5,57.0,21.25,37.25,38.5,47.75,43.5,47.0,42.75,53.25,52.5,57.5,40.75,56.25,46.25,38.0,39.5,25.0,61.0,53.25,42.75,63.25,89.75,58.25,56.0,41.75,74.5
51,,,,,,,,,50.0,3.0,5.0,20.0,4.5,10.25,11.5,12.25,24.0,18.75,35.25,24.25,60.0,48.5,57.0,74.25,64.0,75.75,72.0,63.0,51.5,51.0,43.75,35.0,40.5,41.25,52.75,27.5,60.25,19.0,43.5,48.0,18.25,58.0,49.0,46.5,40.0,62.75,50.75,18.0,36.25,40.0,38.0,80.5,65.25,84.25,74.5,72.75,64.25,49.5,46.25
52,,,,,,,,,34.25,4.25,5.0,13.5,4.25,10.25,9.5,13.5,22.25,16.5,31.5,22.0,58.25,42.25,46.75,71.5,63.5,87.5,76.0,61.25,58.0,45.5,40.75,37.5,34.5,45.5,49.75,28.25,47.75,25.25,52.25,45.25,30.5,48.25,59.25,40.75,39.0,50.5,44.25,26.5,32.25,35.75,49.0,73.5,71.5,78.75,60.75,64.5,59.5,60.5,49.5
